
time	altitude	velocity	accel_bias	alt (bmp)	vert_accel	
     0.0	518.6607	-0.0047	 0.0000	 518.4496	-0.0213	
     0.1	518.6551	-0.0066	 0.0001	 518.4797	-0.0016	
     0.2	518.6502	-0.0073	 0.0001	 518.4322	-0.0033	
     0.3	518.6442	-0.0076	 0.0001	 518.4469	 0.0040	
     0.4	518.6389	-0.0070	 0.0002	 518.4267	 0.0143	
     0.5	518.6327	-0.0066	 0.0002	 518.4417	 0.0050	
     0.6	518.6275	-0.0066	 0.0002	 518.4564	 0.0068	
     0.7	518.6227	-0.0071	 0.0003	 518.4239	-0.0039	
     0.8	518.6170	-0.0082	 0.0003	 518.4089	-0.0009	
     0.9	518.6109	-0.0088	 0.0004	 518.4089	 0.0102	
     1.0	518.6048	-0.0090	 0.0004	 518.4239	-0.0010	
     1.1	518.5997	-0.0097	 0.0004	 518.4537	-0.0032	
     1.2	518.5951	-0.0105	 0.0005	 518.4537	-0.0030	
     1.3	518.5905	-0.0108	 0.0005	 518.4537	 0.0034	
     1.4	518.5860	-0.0114	 0.0005	 518.4537	-0.0013	
     1.5	518.5812	-0.0110	 0.0005	 518.4212	 0.0095	
     1.6	518.5768	-0.0106	 0.0006	 518.4657	 0.0042	
     1.7	518.5736	-0.0104	 0.0006	 518.5252	 0.0027	
     1.8	518.5719	-0.0099	 0.0006	 518.5050	 0.0119	
     1.9	518.5693	-0.0090	 0.0006	 518.5200	 0.0136	
     2.0	518.5673	-0.0074	 0.0006	 518.5022	 0.0147	
     2.1	518.5653	-0.0063	 0.0006	 518.5173	 0.0154	
     2.2	518.5642	-0.0049	 0.0006	 518.5265	 0.0154	
     2.3	518.5633	-0.0040	 0.0006	 518.5717	 0.0108	
     2.4	518.5624	-0.0028	 0.0006	 518.5515	 0.0078	
     2.5	518.5622	-0.0021	 0.0006	 518.5809	 0.0099	
     2.6	518.5617	-0.0009	 0.0006	 518.5358	 0.0129	
     2.7	518.5610	 0.0003	 0.0007	 518.5453	 0.0074	
     2.8	518.5614	 0.0013	 0.0006	 518.5901	 0.0082	
     2.9	518.5618	 0.0022	 0.0006	 518.5252	 0.0155	
     3.0	518.5616	 0.0033	 0.0007	 518.5549	 0.0129	
     3.1	518.5622	 0.0045	 0.0006	 518.5850	 0.0096	
     3.2	518.5627	 0.0049	 0.0006	 518.5224	 0.0099	
     3.3	518.5627	 0.0057	 0.0007	 518.5522	 0.0101	
     3.4	518.5635	 0.0066	 0.0007	 518.5819	 0.0074	
     3.5	518.5636	 0.0077	 0.0007	 518.5344	 0.0105	
     3.6	518.5634	 0.0085	 0.0007	 518.5197	 0.0161	
     3.7	518.5621	 0.0096	 0.0007	 518.4869	 0.0147	
     3.8	518.5612	 0.0105	 0.0007	 518.4869	 0.0139	
     3.9	518.5611	 0.0114	 0.0007	 518.4964	 0.0175	
     4.0	518.5608	 0.0122	 0.0007	 518.5115	 0.0091	
     4.1	518.5610	 0.0132	 0.0007	 518.5262	 0.0134	
     4.2	518.5610	 0.0144	 0.0007	 518.5211	 0.0064	
     4.3	518.5620	 0.0152	 0.0007	 518.5508	 0.0086	
     4.4	518.5631	 0.0157	 0.0007	 518.5354	 0.0078	
     4.5	518.5646	 0.0170	 0.0007	 518.5303	 0.0142	
     4.6	518.5655	 0.0181	 0.0008	 518.5751	 0.0098	
     4.7	518.5677	 0.0186	 0.0008	 518.6048	 0.0011	
     4.8	518.5707	 0.0188	 0.0007	 518.5696	 0.0071	
     4.9	518.5725	 0.0191	 0.0007	 518.5696	 0.0046	
     5.0	518.5747	 0.0195	 0.0007	 518.5847	 0.0003	
     5.1	518.5766	 0.0202	 0.0007	 518.5696	 0.0130	
     5.2	518.5787	 0.0207	 0.0007	 518.5847	-0.0010	
     5.3	518.5809	 0.0210	 0.0007	 518.5847	 0.0068	
     5.4	518.5828	 0.0218	 0.0007	 518.5070	 0.0070	
     5.5	518.5833	 0.0223	 0.0008	 518.5070	 0.0018	
     5.6	518.5836	 0.0225	 0.0008	 518.5070	 0.0066	
     5.7	518.5840	 0.0229	 0.0008	 518.5070	 0.0005	
     5.8	518.5841	 0.0228	 0.0008	 518.4920	-0.0053	
     5.9	518.5838	 0.0221	 0.0008	 518.4920	-0.0031	
     6.0	518.5835	 0.0210	 0.0008	 518.4920	-0.0047	
     6.1	518.5832	 0.0204	 0.0009	 518.4270	 0.0036	
     6.2	518.5817	 0.0198	 0.0009	 518.4718	-0.0071	
     6.3	518.5808	 0.0187	 0.0009	 518.4718	-0.0034	
     6.4	518.5804	 0.0187	 0.0009	 518.4869	 0.0097	
     6.5	518.5801	 0.0197	 0.0010	 518.4691	 0.0092	
     6.6	518.5793	 0.0206	 0.0010	 518.4841	 0.0166	
     6.7	518.5791	 0.0216	 0.0010	 518.4988	 0.0175	
     6.8	518.5796	 0.0220	 0.0010	 518.5289	 0.0043	
     6.9	518.5803	 0.0227	 0.0010	 518.4810	 0.0030	
     7.0	518.5804	 0.0226	 0.0010	 518.4961	 0.0074	
     7.1	518.5806	 0.0231	 0.0011	 518.5111	 0.0096	
     7.2	518.5819	 0.0240	 0.0011	 518.5556	 0.0145	
     7.3	518.5839	 0.0253	 0.0011	 518.5706	 0.0076	
     7.4	518.5862	 0.0259	 0.0011	 518.5857	 0.0086	
     7.5	518.5888	 0.0266	 0.0011	 518.5857	 0.0086	
     7.6	518.5918	 0.0273	 0.0011	 518.6004	 0.0060	
     7.7	518.5938	 0.0283	 0.0011	 518.5556	 0.0147	
     7.8	518.5949	 0.0287	 0.0011	 518.4961	 0.0075	
     7.9	518.5954	 0.0282	 0.0011	 518.5436	 0.0016	
     8.0	518.5965	 0.0287	 0.0011	 518.5139	 0.0069	
     8.1	518.5970	 0.0286	 0.0011	 518.4988	 0.0040	
     8.2	518.5976	 0.0283	 0.0012	 518.5464	 0.0049	
     8.3	518.5992	 0.0289	 0.0012	 518.5464	 0.0093	
     8.4	518.6007	 0.0293	 0.0012	 518.5464	 0.0066	
     8.5	518.6022	 0.0304	 0.0012	 518.5317	 0.0162	
     8.6	518.6044	 0.0314	 0.0012	 518.5764	 0.0048	
     8.7	518.6067	 0.0318	 0.0012	 518.5614	 0.0082	
     8.8	518.6089	 0.0326	 0.0012	 518.5764	 0.0111	
     8.9	518.6109	 0.0330	 0.0012	 518.5737	 0.0032	
     9.0	518.6135	 0.0330	 0.0012	 518.6031	-0.0007	
     9.1	518.6168	 0.0331	 0.0012	 518.5857	 0.0047	
     9.2	518.6197	 0.0332	 0.0012	 518.6004	 0.0096	
     9.3	518.6228	 0.0341	 0.0012	 518.6151	 0.0147	
     9.4	518.6247	 0.0346	 0.0012	 518.5505	 0.0025	
     9.5	518.6268	 0.0343	 0.0013	 518.5802	-0.0039	
     9.6	518.6295	 0.0344	 0.0013	 518.6247	 0.0120	
     9.7	518.6332	 0.0357	 0.0013	 518.6400	 0.0165	
     9.8	518.6369	 0.0367	 0.0013	 518.6694	 0.0074	
     9.9	518.6411	 0.0378	 0.0013	 518.6520	 0.0173	
    10.0	518.6453	 0.0393	 0.0012	 518.6667	 0.0152	
    10.1	518.6502	 0.0411	 0.0012	 518.6493	 0.0180	
    10.2	518.6548	 0.0422	 0.0012	 518.6787	 0.0081	
    10.3	518.6603	 0.0432	 0.0012	 518.7235	 0.0126	
    10.4	518.6665	 0.0451	 0.0012	 518.7330	 0.0180	
    10.5	518.6733	 0.0466	 0.0012	 518.7778	 0.0134	
    10.6	518.6818	 0.0482	 0.0012	 518.8226	 0.0096	
    10.7	518.6891	 0.0492	 0.0012	 518.7454	 0.0047	
    10.8	518.6957	 0.0505	 0.0011	 518.7751	 0.0077	
    10.9	518.7027	 0.0516	 0.0011	 518.7751	 0.0090	
    11.0	518.7100	 0.0526	 0.0011	 518.7898	 0.0106	
    11.1	518.7165	 0.0539	 0.0011	 518.7101	 0.0121	
    11.2	518.7218	 0.0552	 0.0011	 518.7101	 0.0155	
    11.3	518.7273	 0.0566	 0.0011	 518.7248	 0.0162	
    11.4	518.7329	 0.0582	 0.0011	 518.7248	 0.0131	
    11.5	518.7385	 0.0596	 0.0011	 518.7248	 0.0121	
    11.6	518.7436	 0.0608	 0.0011	 518.7197	 0.0166	
    11.7	518.7492	 0.0623	 0.0011	 518.7344	 0.0120	
    11.8	518.7551	 0.0636	 0.0011	 518.7344	 0.0179	
    11.9	518.7611	 0.0643	 0.0011	 518.7498	 0.0039	
    12.0	518.7670	 0.0652	 0.0011	 518.7498	 0.0123	
    12.1	518.7731	 0.0664	 0.0011	 518.7344	 0.0171	
    12.2	518.7786	 0.0677	 0.0011	 518.7344	 0.0112	
    12.3	518.7843	 0.0685	 0.0012	 518.7498	 0.0072	
    12.4	518.7904	 0.0685	 0.0012	 518.7645	-0.0036	
    12.5	518.7963	 0.0681	 0.0012	 518.7344	 0.0012	
    12.6	518.8015	 0.0685	 0.0012	 518.7197	 0.0111	
    12.7	518.8072	 0.0691	 0.0012	 518.7847	 0.0065	
    12.8	518.8140	 0.0697	 0.0012	 518.8148	 0.0023	
