
 time | altitude |  velocity | accel_bias | alt (bmp) | vert_accel |
     0.0s     |522.9774m      | 0.0038m/s    |-0.0000m/s^2  | 523.0179m      | 0.0288m/s^2  |
     0.1s     |522.9793m      | 0.0060m/s    |-0.0000m/s^2  | 523.0025m      | 0.0124m/s^2  |
     0.2s     |522.9813m      | 0.0069m/s    |-0.0000m/s^2  | 523.0918m      | 0.0057m/s^2  |
     0.3s     |522.9845m      | 0.0079m/s    |-0.0000m/s^2  | 523.0867m      | 0.0091m/s^2  |
     0.4s     |522.9882m      | 0.0093m/s    |-0.0001m/s^2  | 523.0514m      | 0.0117m/s^2  |
     0.5s     |522.9908m      | 0.0109m/s    |-0.0001m/s^2  | 523.0661m      | 0.0136m/s^2  |
     0.6s     |522.9939m      | 0.0120m/s    |-0.0001m/s^2  | 523.0333m      | 0.0098m/s^2  |
     0.7s     |522.9964m      | 0.0134m/s    |-0.0001m/s^2  | 523.0480m      | 0.0108m/s^2  |
     0.8s     |522.9989m      | 0.0149m/s    |-0.0001m/s^2  | 523.0005m      | 0.0192m/s^2  |
     0.9s     |523.0011m      | 0.0165m/s    |-0.0001m/s^2  | 523.0306m      | 0.0081m/s^2  |
     1.0s     |523.0035m      | 0.0175m/s    |-0.0001m/s^2  | 523.0306m      | 0.0109m/s^2  |
     1.1s     |523.0060m      | 0.0187m/s    |-0.0001m/s^2  | 523.0453m      | 0.0125m/s^2  |
     1.2s     |523.0079m      | 0.0199m/s    |-0.0001m/s^2  | 523.0100m      | 0.0083m/s^2  |
     1.3s     |523.0103m      | 0.0212m/s    |-0.0001m/s^2  | 523.0248m      | 0.0129m/s^2  |
     1.4s     |523.0134m      | 0.0228m/s    |-0.0001m/s^2  | 523.0401m      | 0.0131m/s^2  |
     1.5s     |523.0166m      | 0.0239m/s    |-0.0001m/s^2  | 523.0220m      | 0.0092m/s^2  |
     1.6s     |523.0199m      | 0.0249m/s    |-0.0002m/s^2  | 523.0966m      | 0.0150m/s^2  |
     1.7s     |523.0250m      | 0.0268m/s    |-0.0002m/s^2  | 523.1561m      | 0.0187m/s^2  |
     1.8s     |523.0302m      | 0.0291m/s    |-0.0002m/s^2  | 523.1062m      | 0.0179m/s^2  |
     1.9s     |523.0354m      | 0.0310m/s    |-0.0002m/s^2  | 523.1209m      | 0.0115m/s^2  |
     2.0s     |523.0398m      | 0.0324m/s    |-0.0002m/s^2  | 523.0880m      | 0.0109m/s^2  |
     2.1s     |523.0441m      | 0.0347m/s    |-0.0002m/s^2  | 523.0733m      | 0.0197m/s^2  |
     2.2s     |523.0481m      | 0.0366m/s    |-0.0002m/s^2  | 523.0733m      | 0.0099m/s^2  |
     2.3s     |523.0510m      | 0.0380m/s    |-0.0002m/s^2  | 522.9960m      | 0.0139m/s^2  |
     2.4s     |523.0536m      | 0.0396m/s    |-0.0002m/s^2  | 523.0254m      | 0.0173m/s^2  |
     2.5s     |523.0574m      | 0.0419m/s    |-0.0002m/s^2  | 523.0555m      | 0.0210m/s^2  |
     2.6s     |523.0617m      | 0.0440m/s    |-0.0002m/s^2  | 523.0702m      | 0.0176m/s^2  |
     2.7s     |523.0663m      | 0.0454m/s    |-0.0002m/s^2  | 523.0702m      | 0.0114m/s^2  |
     2.8s     |523.0701m      | 0.0465m/s    |-0.0002m/s^2  | 522.9902m      | 0.0169m/s^2  |
     2.9s     |523.0731m      | 0.0476m/s    |-0.0002m/s^2  | 523.0049m      | 0.0097m/s^2  |
     3.0s     |523.0766m      | 0.0484m/s    |-0.0002m/s^2  | 523.0203m      | 0.0074m/s^2  |
     3.1s     |523.0802m      | 0.0491m/s    |-0.0002m/s^2  | 523.0203m      | 0.0039m/s^2  |
     3.2s     |523.0835m      | 0.0496m/s    |-0.0002m/s^2  | 523.0049m      | 0.0012m/s^2  |
     3.3s     |523.0864m      | 0.0497m/s    |-0.0001m/s^2  | 523.0049m      | 0.0087m/s^2  |
     3.4s     |523.0900m      | 0.0508m/s    |-0.0001m/s^2  | 523.0350m      | 0.0123m/s^2  |
     3.5s     |523.0924m      | 0.0514m/s    |-0.0001m/s^2  | 522.9724m      | 0.0072m/s^2  |
     3.6s     |523.0950m      | 0.0518m/s    |-0.0001m/s^2  | 523.0022m      | 0.0108m/s^2  |
     3.7s     |523.0981m      | 0.0527m/s    |-0.0001m/s^2  | 523.0022m      | 0.0127m/s^2  |
     3.8s     |523.1013m      | 0.0536m/s    |-0.0001m/s^2  | 523.0172m      | 0.0087m/s^2  |
     3.9s     |523.1046m      | 0.0544m/s    |-0.0000m/s^2  | 523.0323m      | 0.0090m/s^2  |
     4.0s     |523.1093m      | 0.0552m/s    |-0.0000m/s^2  | 523.0767m      | 0.0110m/s^2  |
     4.1s     |523.1140m      | 0.0566m/s    |-0.0000m/s^2  | 523.0767m      | 0.0121m/s^2  |
     4.2s     |523.1187m      | 0.0574m/s    |-0.0000m/s^2  | 523.0767m      | 0.0200m/s^2  |
     4.3s     |523.1243m      | 0.0594m/s    |-0.0000m/s^2  | 523.1216m      | 0.0204m/s^2  |
     4.4s     |523.1307m      | 0.0610m/s    |-0.0000m/s^2  | 523.1513m      | 0.0120m/s^2  |
     4.5s     |523.1367m      | 0.0624m/s    |-0.0000m/s^2  | 523.1458m      | 0.0134m/s^2  |
     4.6s     |523.1432m      | 0.0642m/s    |-0.0000m/s^2  | 523.1609m      | 0.0200m/s^2  |
     4.7s     |523.1501m      | 0.0658m/s    |-0.0000m/s^2  | 523.0983m      | 0.0098m/s^2  |
     4.8s     |523.1551m      | 0.0667m/s    |-0.0000m/s^2  | 523.0836m      | 0.0156m/s^2  |
     4.9s     |523.1600m      | 0.0679m/s    | 0.0000m/s^2  | 523.0836m      | 0.0013m/s^2  |
     5.0s     |523.1642m      | 0.0680m/s    | 0.0000m/s^2  | 523.0206m      | 0.0098m/s^2  |
     5.1s     |523.1674m      | 0.0688m/s    | 0.0001m/s^2  | 523.0507m      | 0.0169m/s^2  |
     5.2s     |523.1714m      | 0.0702m/s    | 0.0001m/s^2  | 523.0655m      | 0.0222m/s^2  |
     5.3s     |523.1750m      | 0.0714m/s    | 0.0001m/s^2  | 523.0152m      | 0.0122m/s^2  |
     5.4s     |523.1781m      | 0.0721m/s    | 0.0001m/s^2  | 523.0152m      | 0.0128m/s^2  |
     5.5s     |523.1814m      | 0.0735m/s    | 0.0002m/s^2  | 523.0152m      | 0.0194m/s^2  |
     5.6s     |523.1844m      | 0.0746m/s    | 0.0002m/s^2  | 523.0005m      | 0.0185m/s^2  |
     5.7s     |523.1868m      | 0.0758m/s    | 0.0003m/s^2  | 522.9054m      | 0.0185m/s^2  |
     5.8s     |523.1876m      | 0.0769m/s    | 0.0003m/s^2  | 522.9208m      | 0.0233m/s^2  |
     5.9s     |523.1889m      | 0.0786m/s    | 0.0004m/s^2  | 522.9502m      | 0.0238m/s^2  |
     6.0s     |523.1909m      | 0.0801m/s    | 0.0004m/s^2  | 522.9652m      | 0.0214m/s^2  |
     6.1s     |523.1935m      | 0.0814m/s    | 0.0005m/s^2  | 522.9799m      | 0.0293m/s^2  |
     6.2s     |523.1967m      | 0.0826m/s    | 0.0005m/s^2  | 523.0398m      | 0.0119m/s^2  |
     6.3s     |523.2010m      | 0.0827m/s    | 0.0005m/s^2  | 522.9919m      | 0.0079m/s^2  |
     6.4s     |523.2040m      | 0.0828m/s    | 0.0006m/s^2  | 523.0070m      | 0.0155m/s^2  |
     6.5s     |523.2080m      | 0.0836m/s    | 0.0006m/s^2  | 523.0367m      | 0.0118m/s^2  |
     6.6s     |523.2125m      | 0.0843m/s    | 0.0006m/s^2  | 523.0665m      | 0.0099m/s^2  |
     6.7s     |523.2173m      | 0.0847m/s    | 0.0007m/s^2  | 523.0487m      | 0.0145m/s^2  |
     6.8s     |523.2221m      | 0.0860m/s    | 0.0007m/s^2  | 523.0932m      | 0.0178m/s^2  |
     6.9s     |523.2275m      | 0.0875m/s    | 0.0007m/s^2  | 523.0932m      | 0.0204m/s^2  |
     7.0s     |523.2331m      | 0.0887m/s    | 0.0008m/s^2  | 523.0932m      | 0.0203m/s^2  |
     7.1s     |523.2374m      | 0.0896m/s    | 0.0008m/s^2  | 523.0456m      | 0.0157m/s^2  |
     7.2s     |523.2415m      | 0.0905m/s    | 0.0008m/s^2  | 523.0456m      | 0.0135m/s^2  |
     7.3s     |523.2446m      | 0.0912m/s    | 0.0009m/s^2  | 522.9957m      | 0.0181m/s^2  |
     7.4s     |523.2475m      | 0.0918m/s    | 0.0009m/s^2  | 522.9957m      | 0.0161m/s^2  |
     7.5s     |523.2502m      | 0.0925m/s    | 0.0010m/s^2  | 522.9806m      | 0.0181m/s^2  |
     7.6s     |523.2526m      | 0.0937m/s    | 0.0010m/s^2  | 522.9806m      | 0.0257m/s^2  |
     7.7s     |523.2555m      | 0.0952m/s    | 0.0011m/s^2  | 522.9957m      | 0.0242m/s^2  |
     7.8s     |523.2582m      | 0.0964m/s    | 0.0011m/s^2  | 522.9806m      | 0.0213m/s^2  |
     7.9s     |523.2610m      | 0.0973m/s    | 0.0012m/s^2  | 522.9957m      | 0.0194m/s^2  |
     8.0s     |523.2639m      | 0.0982m/s    | 0.0013m/s^2  | 522.9806m      | 0.0127m/s^2  |
     8.1s     |523.2665m      | 0.0985m/s    | 0.0013m/s^2  | 522.9806m      | 0.0106m/s^2  |
     8.2s     |523.2691m      | 0.0985m/s    | 0.0014m/s^2  | 522.9806m      | 0.0130m/s^2  |
     8.3s     |523.2711m      | 0.0990m/s    | 0.0014m/s^2  | 522.9307m      | 0.0195m/s^2  |
     8.4s     |523.2725m      | 0.0994m/s    | 0.0015m/s^2  | 522.9454m      | 0.0098m/s^2  |
     8.5s     |523.2746m      | 0.0998m/s    | 0.0016m/s^2  | 522.9601m      | 0.0119m/s^2  |
     8.6s     |523.2767m      | 0.1002m/s    | 0.0016m/s^2  | 522.9601m      | 0.0198m/s^2  |
