Tempo (ms)		Leitura
0		-0.467812
25		-0.271706
50		-0.167030
75		-0.137428
100		-0.122658
125		-0.110451
150		-0.125282
175		-0.244179
200		-0.122658
225		-0.438210
250		-0.249489
275		-0.119972
300		-0.137428
325		-0.208778
350		-0.327736
375		-0.114174
400		-0.269081
425		-0.233131
450		-0.211464
475		-0.368935
500		-0.339333
525		-0.199806
550		-0.332985
575		-0.527565
600		-0.318764
625		-0.110451
650		-0.458839
675		-0.506386
700		-0.541298
725		-0.413918
750		-0.332985
775		-0.500038
800		-0.800819
825		-0.782326
850		-0.800819
875		-0.740578
900		-0.940346
925		-0.840980
950		-0.770668
975		-0.796608
1000		-0.746376
1025		-0.910255
1050		-0.991127
1075		-0.728432
1100		-0.574074
1125		-0.604164
1150		-0.543922
1175		-0.475197
1200		-0.668129
1225		-0.891762
1250		-0.912331
1275		-0.870583
1300		-0.543922
1325		-0.811928
1350		-0.528603
1375		-0.528603
1400		-0.811928
1425		-0.507973
1450		-0.478371
1475		-0.306068
1500		-0.472572
1525		-0.246864
1550		-0.306068
1575		-0.409645
1600		-0.753273
1625		-0.461464
1650		-0.401710
1675		-0.342018
1700		-0.208778
1725		-0.137428
1750		-0.137428
1775		-0.473122
1800		-0.241554
1825		-0.274330
1850		-0.378456
1875		-0.449318
1900		-0.211464
1925		-0.226234
1950		-0.114174
1975		-0.178688
2000		-0.149086
2025		-0.059730
2050		0.000023
2075		-0.107277
2100		-0.420204
2125		-0.330360
2150		-0.509560
2175		-0.417091
2200		-0.461464
2225		-0.337257
2250		-0.358376
2275		-0.441383
2300		-0.322426
2325		-0.164894
2350		-0.174416
2375		-0.103615
2400		0.015343
2425		-0.183937
2450		-0.241066
2475		-0.345680
2500		-0.271706
2525		0.070335
2550		-0.107277
2575		0.002647
2600		-0.145912
2625		0.156456
2650		-0.069252
2675		-0.200355
2700		0.207237
2725		0.227318
2750		0.182396
2775		0.028038
2800		0.044945
2825		0.024315
2850		-0.074501
2875		-0.097755
2900		-0.074501
2925		0.035423
2950		0.082481
2975		-0.137428
3000		-0.196632
3025		-0.137428
3050		-0.148537
3075		-0.300270
3100		-0.089882
3125		-0.217751
3150		-0.024330
3175		-0.152748
3200		-0.063942
3225		-0.237892
3250		-0.167580
3275		-0.108376
3300		-0.033791
3325		-0.182899
3350		-0.247902
3375		-0.301796
3400		-0.316627
3425		-0.346230
3450		-0.206154
3475		-0.096718
3500		-0.220924
3525		-0.281227
3550		-0.036964
3575		-0.119972
3600		-0.290199
3625		-0.108376
3650		-0.242104
3675		-0.048622
3700		-0.207191
3725		-0.323524
3750		-0.180763
3775		-0.209877
3800		-0.370522
3825		-0.407021
3850		-0.574074
3875		-0.389015
3900		-0.576698
3925		-0.675514
3950		-0.600990
3975		-0.288612
4000		-0.422890
4025		-0.532814
4050		-0.535439
4075		-0.149086
4100		-0.363136
4125		-0.154884
4150		-0.208290
4175		-0.338844
4200		-0.312416
4225		-0.056007
4250		-0.378456
4275		-0.318214
4300		-0.451942
4325		-0.495827
4350		-0.505348
4375		-0.585670
4400		-0.457741
4425		-0.393288
4450		-0.342018
4475		-0.401710
4500		-0.031166
4525		-0.197670
4550		-0.360512
4575		-0.180275
4600		-0.215675
4625		-0.215675
4650		0.012718
4675		-0.367348
4700		-0.106239
4725		-0.225197
4750		-0.344093
4775		-0.383217
4800		-0.335670
4825		-0.383217
4850		-0.344093
4875		-0.246315
4900		-0.285439
4925		-0.064980
4950		-0.011085
4975		0.119469
5000		0.166527
5025		0.259056
5050		0.107323
5075		0.122154
5100		0.109947
5125		0.119469
5150		-0.104652
5175		-0.140053
5200		-0.018471
5225		-0.211464
5250		-0.161720
5275		-0.236305
5300		-0.217751
5325		-0.241554
5350		0.049706
5375		-0.190834
5400		-0.012672
5425		-0.140053
5450		-0.003700
5475		-0.077187
5500		-0.294960
5525		-0.271156
5550		-0.057106
5575		-0.236305
5600		0.026451
5625		-0.024330
5650		-0.217751
5675		0.029076
5700		-0.247902
5725		-0.018471
5750		0.095177
5775		0.204063
5800		-0.078224
5825		0.275414
5850		0.052330
5875		0.144859
5900		-0.102028
5925		0.067650
5950		0.002098
5975		0.245323
6000		0.115257
6025		0.201439
6050		0.328819
6075		0.097801
6100		0.179771
6125		0.151207
6150		-0.043312
6175		-0.073463
6200		-0.132118
6225		-0.099342
6250		-0.013222
6275		-0.013222
6300		0.085106
6325		-0.094093
6350		-0.111000
6375		0.016930
6400		0.016930
6425		0.237389
6450		-0.015846
6475		0.067650
6500		-0.031166
6525		0.148033
6550		0.196129
6575		0.082481
6600		0.088280
6625		-0.071876
6650		0.254784
6675		-0.167580
6700		-0.074501
6725		-0.158058
6750		-0.027504
6775		-0.098854
6800		-0.003700
6825		-0.089882
6850		-0.179176
6875		0.020653
6900		0.183983
6925		0.168663
6950		0.293907
6975		-0.057106
7000		0.077171
7025		0.144859
7050		0.198753
7075		0.032249
7100		0.214134
7125		0.244225
7150		0.278587
7175		0.248985
7200		0.115257
7225		0.340965
7250		0.468895
7275		0.522850
7300		0.427147
7325		0.457298
7350		0.171288
7375		0.014305
7400		0.261131
7425		0.290245
7450		0.196129
7475		0.171288
7500		0.159142
7525		0.320335
7550		0.240013
7575		0.245323
7600		0.388023
7625		0.293907
7650		0.248985
7675		0.261131
7700		0.174461
7725		0.263817
7750		0.085106
7775		0.112083
7800		0.240013
7825		0.052330
7850		0.388023
7875		0.298668
7900		0.212547
7925		0.358971
7950		0.183983
7975		0.445091
8000		0.326195
8025		0.424522
